"Protein IDs","Gene names","LFQ intensity KO_MITOS_22","LFQ intensity KO_MITOS_23","LFQ intensity KO_MITOS_24","LFQ intensity KO_TOTALS_22","LFQ intensity KO_TOTALS_23","LFQ intensity KO_TOTALS_24","LFQ intensity WT_MITOS_22","LFQ intensity WT_MITOS_23","LFQ intensity WT_MITOS_24","LFQ intensity WT_TOTALS_22","LFQ intensity WT_TOTALS_23","LFQ intensity WT_TOTALS_24"
"Q56VL3;Q56VL3-2","OCIAD2",145100000,114340000,146450000,93730000,110230000,39639000,184760000,94377000,112060000,62611000,88309000,84566000
"Q587I9","SFT2D3",34268000,31634000,27629000,20115000,31904000,19990000,34854000,26698000,54515000,23806000,55952000,32444000
"Q58EX2-2;Q58EX2-3;Q58EX2;Q58EX2-4","SDK2",0,0,0,0,0,0,0,0,0,0,0,0
"Q58FF6","HSP90AB4P",0,0,0,0,0,0,0,0,0,0,0,0
"Q58FF7","HSP90AB3P",0,0,0,0,0,0,0,0,0,0,0,0
"Q58FF8","HSP90AB2P",76310000,70418000,79117000,213500000,229020000,1103800000,69437000,72723000,120260000,300650000,251900000,261260000
"Q5BJD5-3;Q5BJD5-2;Q5BJD5","TMEM41B",0,0,0,38549000,0,0,0,0,0,0,0,0
"Q5BJF2","TMEM97",0,0,0,0,0,0,0,0,0,0,0,0
"Q5BJF6-2;Q5BJF6-3;Q5BJF6-4;Q5BJF6;Q5BJF6-9;Q5BJF6-8;Q5BJF6-5;Q5BJF6-6;Q5BJF6-10;Q5BJF6-7","ODF2",32282000,15039000,19312000,0,0,0,8794700,11527000,11356000,0,0,0
"Q5BJH7-3;Q5BJH7;Q5BJH7-4;Q5BJH7-5;Q5BJH7-6;Q5BJH7-2","YIF1B",0,0,0,22975000,24144000,14559000,8812400,14474000,13987000,12737000,34542000,18928000
"Q5BKU9","OXLD1",0,10308000,0,0,0,0,10545000,0,0,0,0,0
"Q5BKX5;Q5BKX5-3","C19orf54",0,0,0,0,0,17008000,0,0,6953300,18814000,0,19511000
"Q5BKZ1;Q5BKZ1-3;Q5BKZ1-2","ZNF326",0,16646000,0,83150000,83494000,70102000,0,8365600,4440500,83127000,276770000,180570000
"Q5C9Z4","NOM1",0,0,0,0,0,14679000,0,0,0,0,0,0
"Q5EBL4;Q5EBL4-2;Q969X0;Q5EBL4-3","RILPL1",0,0,0,0,0,0,0,0,0,0,0,0
"Q5EBL8;Q5EBL8-2","PDZD11",26948000,44040000,28766000,21776000,15292000,22580000,0,33568000,39428000,0,14260000,20486000
"Q5EBM0;Q5EBM0-2;Q5EBM0-3;Q5EBM0-4","CMPK2",0,0,0,0,0,0,0,0,0,0,0,0
"Q5F1R6;Q5F1R6-3;Q5F1R6-2","DNAJC21",0,0,0,0,0,0,0,0,0,0,0,0
"Q5H8A4-4;Q5H8A4-2;Q5H8A4;Q5H8A4-5;Q5H8A4-6;Q5H8A4-3","PIGG",11138000,8425500,6370600,5943100,6241900,9214100,18167000,15714000,18884000,7151800,20021000,13351000
