"KO_TOTALS_22","KO_TOTALS_23","KO_TOTALS_24","WT_TOTALS_22","WT_TOTALS_23","WT_TOTALS_24"
22.4481689830261,22.4480459062758,23.0537650138647,22.4584949738674,22.3956142139704,22.3909038858654
22.2456343277244,22.2425834463892,22.8603639290641,22.2555303380101,22.1876557135045,22.1838894032976
20.0652915048868,20.0307219794775,20.7783465748207,20.0705586529333,19.9489236641012,19.9553199734507
21.549875273642,21.5367666244379,22.1959810578025,21.5582941892346,21.4732643449904,21.4727409810283
21.9202457037968,21.9124910629813,23.1964652537896,21.9294509148657,22.0021983263538,21.8513035674788
23.8810101209993,23.5825628386622,26.4135455525305,24.2097020404054,23.2863028092948,23.165211252333
25.2915464833911,25.4225878676209,24.7746479338494,24.8410536816411,25.9757222194695,25.312505764252
21.4292355447472,21.4143829492992,24.2563791727447,21.4373983425037,21.8535532350924,21.3494328438749
23.2526452229375,22.1062306488578,25.0582111004423,24.5024564741697,22.6532474545336,23.1844988657296
21.3110107710323,21.2944491394985,22.5496491392638,21.3189225778963,21.3493939037556,21.2285930778564
26.3304148492622,26.9482654476867,26.2486012384439,25.8370638852326,27.3094731619263,26.5159147874269
21.5228863838117,21.5093875880656,22.0807817384389,21.5312480020601,21.228003089808,21.4451551288442
22.0943135835935,21.9363935204229,21.9678884686293,22.1038883403263,21.4455526970752,21.0858925339847
24.0498452266121,24.2268507846615,23.9539363823526,22.6673506682575,24.1062146713723,23.4597647887325
20.7022855730815,22.0890752367711,22.3301378449192,20.7089050579064,22.0322826244301,22.0292216231029
21.6306049949554,20.6769243194643,22.1702092679675,21.6391952995399,20.6029763299527,20.6064035977795
24.2113369909178,24.4764248442142,23.4427835707952,23.4906932378419,24.1934754291522,23.9391229054624
21.7108369628538,21.6186633600967,23.8207500387617,21.719597599701,21.5561559951249,21.5552563483892
25.9004887477788,25.8912923646956,24.0921661152047,25.6974215221453,25.942818191939,26.0541998783967
21.6317909549306,21.7000551469066,22.7158671957809,21.6403837773051,21.6385365620886,21.6372629526176
21.5913118548323,21.6198664640962,24.8334491330428,21.5998187401808,21.5573737149154,21.5564685403977
