"KO.22","KO.23","KO.24","WT.22","WT.23","WT.24"
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,23.1964652537896,NA,22.0021983263538,NA
23.8810101209993,23.5825628386622,26.4135455525305,24.2097020404054,23.2863028092948,23.165211252333
25.2915464833911,25.4225878676209,24.7746479338494,24.8410536816411,25.9757222194695,25.312505764252
NA,NA,24.2563791727447,NA,NA,NA
23.2526452229375,22.1062306488578,25.0582111004423,24.5024564741697,22.6532474545336,23.1844988657296
NA,NA,NA,NA,NA,NA
26.3304148492622,26.9482654476867,26.2486012384439,25.8370638852326,27.3094731619263,26.5159147874269
NA,NA,NA,NA,NA,NA
NA,21.9363935204229,NA,NA,NA,21.0858925339847
24.0498452266121,24.2268507846615,23.9539363823526,22.6673506682575,24.1062146713723,23.4597647887325
NA,NA,22.3301378449192,NA,NA,NA
NA,NA,NA,NA,NA,NA
24.2113369909178,24.4764248442142,23.4427835707952,23.4906932378419,24.1934754291522,23.9391229054624
NA,NA,23.8207500387617,NA,NA,NA
25.9004887477788,25.8912923646956,24.0921661152047,25.6974215221453,25.942818191939,26.0541998783967
NA,NA,NA,NA,NA,NA
NA,NA,24.8334491330428,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
23.7960023656898,23.6442743909627,25.0743904134401,24.2814999426843,23.6751912453918,23.3100801925779
24.243580200384,23.2489739469829,24.4736408524053,24.3127827129577,24.1611564920648,23.9321094785504
23.7192099838075,22.9571998378949,25.6732512696971,24.706882544578,23.032630287737,23.6086257226957
22.985513994287,NA,NA,23.7187920536073,NA,22.9428673985399
NA,NA,25.6643804414071,NA,NA,NA
NA,NA,26.9074738428479,NA,24.2419086899363,23.9146077621128
22.4362143834428,22.1553617855672,NA,NA,23.2465985437385,NA
NA,NA,NA,22.1590324141012,22.8358985146119,22.784086842985
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
25.0122688648717,24.9126905591185,26.217100255009,25.6402248533365,25.5639822104617,25.2007887751043
22.2111587226916,22.37228162681,23.0314865064132,22.7998404804289,22.5009138289421,NA
NA,NA,NA,NA,NA,NA
24.7654706459933,25.1841204737635,24.7484754174082,21.425267134458,23.6620998435549,22.0970946663513
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,24.3115360248947,NA,22.2509841883519,NA
24.2721308383506,24.0244525350027,NA,22.9965031418405,25.8000577998968,24.6046726669143
NA,NA,NA,NA,NA,NA
NA,NA,24.7304485767354,24.8713123178862,NA,25.4723088240374
NA,NA,NA,NA,NA,NA
NA,NA,28.8093128192732,NA,NA,NA
25.6276736972014,25.93339332575,25.1875601884661,26.4369037766488,26.8015633196682,26.4749097816117
23.7291004088961,NA,NA,NA,24.5489258309155,23.493749925796
23.1724629133882,22.7179349180185,25.4341537717716,23.5726521220362,22.8601662943282,23.2495237876366
27.4295800317502,27.2159531443948,29.2494107618505,28.1971836158086,27.241726887272,27.4602961508586
23.715234750232,23.9789324561168,24.0865891476827,24.7867111320662,23.9564201176651,24.0425163900007
26.7930277356857,27.1832876619301,26.1462568173871,27.1533490036056,26.6408592050475,26.9478197243369
NA,NA,NA,NA,NA,NA
24.7940695539892,25.607497383016,23.5876072320563,24.6609581912727,24.1137046547174,24.5339779385122
24.9557552505899,24.3385813428402,25.4930780098938,25.2845389075701,24.3034061866546,25.1496522400966
27.051547178979,27.3499272042086,26.384164004027,27.0795874840141,27.8152504740455,27.3447733585768
NA,NA,NA,NA,NA,NA
24.8475674210631,24.5158095421279,25.63231344068,24.5495134867448,24.325808304234,24.4213683722407
NA,NA,NA,NA,NA,NA
25.5161703511934,25.2659938268944,25.8680180623818,26.8423012312271,26.4652876404641,27.1037960370596
26.5015001069749,26.3300215556413,27.4881512591474,26.1127904118692,25.0611400964273,24.7387689086317
25.4536871085115,24.9258314813012,27.0389425932276,27.051547178979,25.5985239440744,25.8176065128906
NA,NA,NA,NA,NA,NA
28.2653053539437,28.423742228935,27.5400082218758,27.7633824885925,27.6499986978742,27.4505757171576
24.7648128861302,25.1353961672663,21.7294531283165,25.6022389797968,25.4453435306837,25.6413003287449
25.7541967564191,25.9040774288138,24.0103491674747,26.6068199553744,25.9746724299596,26.4059721629303
24.8757710955747,23.605464145071,26.7031900872474,24.8179723912728,23.7393356310906,23.5242049979308
24.2881349822105,24.3671971633763,25.783917047766,24.2774616550116,24.2018732411589,23.3730520489068
23.9704436736892,24.5715531461075,24.2328635503333,24.1535229631764,24.2238349782926,23.9053634989768
23.9589880579586,24.4492222117236,23.8016373211066,23.8081346280759,22.9290416412951,23.4437954558381
24.6193571421625,23.5108694198183,25.6354167865014,24.9615955917888,23.1391647323896,23.5292189203723
28.957372559788,28.793616951557,30.336390816829,29.2937973458417,28.6447144718144,28.5015760322988
21.6328514627389,NA,24.6460339094867,NA,NA,NA
22.5418197861736,22.9924979069456,22.640462078365,23.1258132499619,23.9054553172769,22.9994653788758
27.4691752608195,28.0724494532764,26.4499620755323,27.7542349925821,27.0654813835632,27.5604879428355
23.7234868024326,NA,NA,24.1324181439614,24.5988930396028,24.1306126652623
27.9575386190328,27.7321449587507,29.4963658878321,28.5584092100013,27.7242938026299,27.6584678878007
25.1517050167203,24.8967987526963,26.2145272360664,25.4071398906167,24.5262962503493,24.2057556707713
23.3344271518845,NA,22.8890374790315,24.7248402238223,NA,23.9745630329426
NA,25.1478294064892,28.0287052717293,24.5465728109592,24.7566418301617,24.5402595534611
24.024029742443,23.7221321101787,23.7018690588236,23.539549798589,24.4119629593363,24.0327143535262
NA,NA,NA,NA,NA,NA
26.8445776263161,27.4330873312178,27.3695286576586,27.4323706223813,27.7676189243822,27.5294721384398
26.1988983604028,25.7850153691872,26.0110320192403,26.0086619920005,26.8121316610943,26.3857938239502
24.493749925796,23.8029194099582,26.382763193119,24.4045761372403,23.1018301603421,23.274692088726
23.587492782408,24.3725871882484,23.8031165533093,23.0381011506968,23.934181087206,23.3121595035901
27.493352922406,27.0608515862691,28.2566041263635,28.0375294433711,26.7318213756966,27.4619358877741
27.3073031079073,26.9279573157718,28.3147544351145,27.8393605676742,26.3919835084863,26.9332582377284
NA,NA,NA,NA,NA,NA
26.5092692933154,26.2929158473449,25.0577567798463,26.2304284669107,25.7858385618774,26.2213108347866
NA,NA,NA,NA,NA,NA
24.8645273651182,NA,NA,NA,NA,NA
23.1804525002809,23.1265853808642,24.3311498498617,23.824736595413,22.5145580382771,22.9106427304696
27.0062452556187,26.9572618430049,27.6005953348338,27.6695256755378,26.8136001776763,27.1921588440552
27.2412722803545,27.9350021519322,27.2091814400809,26.5175976688819,27.3473103376143,26.6724961296428
27.30382421777,27.3798087945402,26.6283970339129,26.8173869413141,28.0212044238498,27.3753409620879
26.0760840649489,26.124689770766,26.3036152173532,26.2601896469987,27.0434345331917,26.7630658372796
24.5002695597136,24.4317969988458,26.0839345450986,25.7764061236745,24.6512448738001,25.0250442365071
NA,NA,NA,NA,NA,NA
23.6920024439943,24.3139591521976,26.2671554387505,24.3780233215691,24.0180126780095,23.7712258845688
NA,NA,24.7228617179164,NA,NA,NA
NA,NA,22.6380107119506,22.3518084133505,NA,NA
25.7721325113743,25.7268679782454,25.3905410755858,24.6966789312038,24.9494459490095,24.5617410286053
23.9483322943135,24.6155456762998,22.9020909546306,23.1546976075436,22.3255612932591,22.9891921278023
26.6233818664956,26.5937740689778,26.6735747801909,24.9279121178507,25.3011048478536,25.0571783466358
NA,NA,NA,NA,NA,NA
23.6830322904897,22.7633039655474,25.1956545569493,23.5162906008322,22.2528328718088,22.3682368091422
NA,19.9655024807661,NA,20.6563061422003,NA,26.3009303543253
27.5135976154441,28.3185519116908,26.9563758027247,26.6488337142842,27.7020012161123,26.8955050214687
25.9022611996072,25.4116074445782,27.7348601948864,26.2408902998082,25.0916416675239,25.2051963493388
NA,NA,NA,NA,NA,NA
26.3688462529634,25.4293725151886,26.2247367029781,26.5289209598514,26.0573229766821,25.6082026987248
NA,NA,NA,NA,NA,NA
26.2853152900379,26.3209805033158,26.3983914284666,25.4600148658767,27.554279337528,27.0460397111196
26.2139527709322,25.6618009266958,25.9744755093559,26.7237732090145,26.5849152620464,26.4018613855215
23.0539431114041,23.0548705700779,NA,24.4174461682653,23.3697283248157,22.9051798448436
25.463916701506,24.928544759926,24.7200454811761,25.0385030949199,26.8809867747194,26.1837609094466
27.6560142083,27.7316271910215,27.2933369287433,26.4664705857132,28.6639056140626,27.8732031142574
27.8102326121261,27.9005808768405,28.6598292420332,27.9797829539322,28.5386399145686,28.3330881128597
24.8972605185489,23.9445841051634,26.2312711412354,24.9059602134993,23.2721308383506,24.2453223229092
NA,NA,NA,25.0187343545446,25.5995458235361,NA
NA,NA,NA,NA,NA,NA
21.2294056052108,NA,23.7108282896966,NA,NA,NA
25.6394798235093,25.6071304825293,26.3453826405383,25.1162852566316,25.2448869894597,24.9057307371208
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
26.4328803185678,25.2142678285244,27.213266819423,26.7574813681092,24.5676130953522,24.3395330783649
